full_name,f_name,affiliation,paper_title,paper_url,year
Mohammad Raihanul Islam,mohammad,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
K. S. M. Tozammel Hossain,k,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
Siddharth Krishnan,siddharth,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
Naren Ramakrishnan,naren,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
Meng Jiang,meng,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Peng Cui,peng,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Nicholas Jing Yuan,nicholas,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Xing Xie,xing,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Shiqiang Yang,shiqiang,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Ronghua Liang,ronghua,,Scientific Ranking over Heterogeneous Academic Hypernetwork,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12114,2016
Xiaorui Jiang,xiaorui,,Scientific Ranking over Heterogeneous Academic Hypernetwork,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12114,2016
Zeming Lin,zeming,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12440,2016
Jack Lanchantin,jack,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12440,2016
Yanjun Qi,yanjun,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12440,2016
Eric Lofgren,eric,,Hospital Stockpiling Problems with Inventory Sharing,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12450,2016
Anil Vullikanti,anil,,Hospital Stockpiling Problems with Inventory Sharing,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12450,2016
Yuan Luo,yuan,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Yu Xin,yu,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Rohit Joshi,rohit,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Leo Celi,leo,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Peter Szolovits,peter,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Yuting Qiang,yuting,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
Yanwei Fu,yanwei,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
