Mohammad Raihanul Islam,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
K. S. M. Tozammel Hossain,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
Siddharth Krishnan,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
Naren Ramakrishnan,,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12306,2016
Meng Jiang,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Peng Cui,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Nicholas Jing Yuan,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Xing Xie,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Shiqiang Yang,,Little Is Much: Bridging Cross-Platform Behaviors through Overlapped Crowds,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12009,2016
Ronghua Liang,,Scientific Ranking over Heterogeneous Academic Hypernetwork,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12114,2016
Xiaorui Jiang,,Scientific Ranking over Heterogeneous Academic Hypernetwork,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12114,2016
Zeming Lin,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12440,2016
Jack Lanchantin,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12440,2016
Yanjun Qi,,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12440,2016
Eric Lofgren,,Hospital Stockpiling Problems with Inventory Sharing,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12450,2016
Anil Vullikanti,,Hospital Stockpiling Problems with Inventory Sharing,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12450,2016
Yuan Luo,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Yu Xin,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Rohit Joshi,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Leo Celi,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Peter Szolovits,,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11843,2016
Yuting Qiang,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
Yanwei Fu,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
Yanwen Guo,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
Zhi-Hua Zhou,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
Leonid Sigal,,Learning to Generate Posters of Scientific Papers,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11979,2016
Shuyang Wang,,Face Behind Makeup,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12044,2016
Yun Fu,,Face Behind Makeup,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12044,2016
Yang Yang,,Social Role-Aware Emotion Contagion in Image Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12069,2016
Jia Jia,,Social Role-Aware Emotion Contagion in Image Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12069,2016
Boya Wu,,Social Role-Aware Emotion Contagion in Image Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12069,2016
Jie Tang,,Social Role-Aware Emotion Contagion in Image Social Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12069,2016
Jianfei Zhang,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Lifei Chen,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Alain Vanasse,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Josiane Courteau,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Shengrui Wang,,Survival Prediction by an Integrated Learning Criterion on Intermittently Varying Healthcare Data,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11873,2016
Chuan Zhou,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
Wei-Xue Lu,,On the Minimum Differentially Resolving Set Problem for Diffusion Source Inference in Networks,http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12230,2016
